CountryCode,CountryName,Year,Current_Account,FDI_Inflows,GDP_Growth,GDP_per_Capita,Govt_Debt,Inflation,Unemployment,Norm_GDP_Growth,Norm_Inflation,Norm_Unemployment,Norm_Govt_Debt,Norm_FDI,Norm_Current_Account,CountryRiskScore,RiskCategory,Signal_GDP_Slowdown,Signal_High_Inflation,Signal_High_Unemployment
CHN,China,2021,1.6339546037037,1.8903454142588,8.57038414981781,12887.4357242941,1.27158921671582,0.981015135544882,4.55,0.07779988290050353,0.2694146588983432,0.07530763435459568,0.31859430229749547,0.9268754275701593,0.7562238095279699,31.67,Stable,0,0,0
CHN,China,2022,2.20640460953834,1.03841365474349,3.13385438394069,12970.6056414327,1.27158921671582,1.97357555739051,4.98,0.34708190974366,0.35679170999651216,0.08880587644399801,0.31859430229749547,0.9528740770227836,0.7316534775178084,40.36,Watch,0,0,0
CHN,China,2023,1.40681103517507,0.280991103634816,5.41600334492955,12951.1782397043,1.27158921671582,0.234836828893051,4.67,0.23404257689013436,0.20372711122499623,0.07907458563535913,0.31859430229749547,0.975988561456361,0.7659731200980415,34.9,Stable,0,0,0
CHN,China,2024,2.46818591485776,0.227695125306895,4.95830378788091,13293.1162269366,1.27158921671582,0.218128938439177,4.59,0.2567133374147735,0.20225628268317694,0.07656328478151683,0.31859430229749547,0.9776150103383355,0.7204174682240823,34.96,Stable,0,0,0
CHN,China,2025,3.76972243689338,0.410194399848574,4.95994886240992,13861.970224368,1.27158921671582,0.0595646916565403,4.615,0.2566318536332884,0.18829755937673429,0.07734806629834255,0.31859430229749547,0.9720456268622848,0.6645537523644939,34.08,Stable,0,0,0
DEU,Germany,2020,6.34782686016016,4.48523547812751,-4.13191443239947,47394.8734504469,1.27158921671582,0.144877925813982,3.881,0.706969749541446,0.19580785160303887,0.054306880964339534,0.31859430229749547,0.8476864122703862,0.5538980077738848,42.79,Watch,1,0,0
DEU,Germany,2021,6.92006966375342,2.93002168676674,3.90999994204108,52349.2459994422,1.27158921671582,3.06666666666673,3.594,0.308637891590314,0.45301867573889293,0.04529758915118032,0.31859430229749547,0.8951473241730946,0.5293365691654389,38.07,Stable,0,0,0
DEU,Germany,2022,4.11376375249819,1.82269397984058,1.8092581243061,50506.5179638543,1.27158921671582,6.87257438551097,3.137,0.4126917713472999,0.7880602368420511,0.030951783023606235,0.31859430229749547,0.9289399660836749,0.6497870316666785,48.7,Watch,0,1,0
DEU,Germany,2023,5.50327392607703,1.99210813981277,-0.869647578573321,54776.7668235491,1.27158921671582,5.94643667725823,3.071,0.5453832470605161,0.7065305081959429,0.02887995981918635,0.31859430229749547,0.9237699048572526,0.5901473671573708,49.71,Watch,1,0,0
DEU,Germany,2024,5.89380863529108,1.33680512940413,-0.495851897260366,56103.7323182554,1.27158921671582,2.2564981433876,3.4,0.5268684107542844,0.3816979431178431,0.039207684580612766,0.31859430229749547,0.9437679775462631,0.5733850868375538,42.94,Watch,1,0,0
DEU,Germany,2025,4.50585617378113,1.88462297077013,0.239578342117881,60496.4350820414,1.27158921671582,2.17178770949721,3.711,0.4904411025282674,0.3742407165876683,0.048970366649924664,0.31859430229749547,0.9270500610435716,0.6329578922284779,42.45,Watch,1,0,0
GBR,United Kingdom,2020,-2.92883387550299,5.77039185007421,-10.047896637362,40815.1255364787,3.91260966150834,0.989486703772491,4.472,1.0,0.27016042775393495,0.07285911602209948,0.45288328190629135,0.8084669212338529,0.9520648902923788,58.16,Elevated,1,0,0
GBR,United Kingdom,2021,-0.752836357784013,3.20643815254935,8.5431118453255,47695.6491523474,1.26222094398989,2.51837109614213,4.864,0.07915073385628567,0.4047511355184763,0.08516449020592667,0.3181179501406833,0.8867118424381444,0.8586681204108066,35.17,Stable,0,0,0
GBR,United Kingdom,2022,-2.06737101121871,2.91635435189931,5.14970388522993,47034.7795621476,-1.09405493870665,7.92204883147902,3.768,0.24723291362023805,0.8804475417086507,0.050759668508287295,0.19830748650415833,0.8955644142090056,0.9150897337299668,46.62,Watch,0,1,0
GBR,United Kingdom,2023,-3.57676183842871,0.403116734836793,0.271650048355255,49919.6896621586,0.500551565967726,6.79396706793963,4.025,0.48885252775137106,0.7811402796757667,0.058827222501255674,0.2793890551124215,0.9722616180253436,0.9798748387690867,53.84,Watch,1,1,0
GBR,United Kingdom,2024,-2.95960422411904,-0.350561573947678,1.08027716858781,53341.3131094262,0.0247281289210512,3.2715729463592,4.361,0.44879963385142646,0.4710569795811241,0.06937468608739328,0.2551946782907882,0.9952618383261834,0.9533855954611427,46.27,Watch,1,0,0
GBR,United Kingdom,2025,-2.42693271936225,1.91447167382408,1.38844207858726,57601.9621201954,0.0247281289210512,3.88306881626,4.746,0.43353561891170456,0.5248881667760448,0.08146032144650932,0.2551946782907882,0.9261391594852628,0.9305226107623403,46.23,Watch,1,0,0
IND,India,2020,1.22362111042791,2.40620322673636,-5.77772470687303,1907.04251637669,1.48838740493255,6.6234367762853,7.859,0.7884899739484266,0.7661281618442303,0.17918131592164743,0.32961792293400577,0.911132844570751,0.7738358805593533,61.16,Elevated,1,1,0
IND,India,2021,-1.05524166809383,1.41217101040888,9.68959249191741,2239.61384367482,1.48838740493255,5.13140747176364,6.38,0.022363289374978296,0.634781880135014,0.13275364138623807,0.32961792293400577,0.9414680150210422,0.8716477671925633,39.97,Stable,0,0,0
IND,India,2022,-2.43238270956779,1.53665241748393,7.6093649776932,2279.98145719369,1.48838740493255,6.69903414079858,4.822,0.12540105527504591,0.7727831469076898,0.08384605725765948,0.32961792293400577,0.9376691796920777,0.9307565317465966,45.12,Watch,0,1,0
IND,India,2023,-0.912777939495827,0.802254995836756,7.210224629335,2434.44826340989,1.48838740493255,5.64914318907925,4.172,0.14517126285772045,0.6803591762185254,0.06344173782019086,0.32961792293400577,0.9600809995486104,0.865533030402658,43.04,Watch,0,0,0
IND,India,2024,-0.851289719084462,0.721648483526777,7.09927893176518,2591.9916607122,1.48838740493255,4.95303550973661,4.173,0.15066662177190254,0.6190794445981067,0.0634731290808639,0.32961792293400577,0.962540891944614,0.8628938724415739,41.95,Watch,0,0,0
IND,India,2025,-0.416854153498652,0.988285383995246,7.56666179284244,2702.47987141553,1.48838740493255,2.39884954182294,4.219,0.1275162281269351,0.3942294174152486,0.06491712707182322,0.32961792293400577,0.9544038560506147,0.8442473077203412,36.63,Stable,0,0,0
JPN,Japan,2020,2.8911777788158,1.20605775501323,-4.28327942675573,41098.9739004553,1.27158921671582,-0.024995834027731,2.809,0.7144671558334504,0.18085352956153805,0.02065544952285285,0.31859430229749547,0.9477580332234619,0.7022620827247095,44.66,Watch,1,0,0
JPN,Japan,2021,3.76057343034324,0.67025659122188,3.56419531474475,41580.739040705,1.27158921671582,-0.233352779398264,2.808,0.32576627586120827,0.16251145681553153,0.02062405826217981,0.31859430229749547,0.9641092332792559,0.6649464401559323,34.37,Stable,0,0,0
JPN,Japan,2022,2.0281112293848,1.08260095152642,1.33164750653741,35548.2645222433,1.27158921671582,2.49770278172255,2.614,0.4363487659253135,0.40293166304566236,0.014534153691612258,0.31859430229749547,0.9515256004265219,0.7393060716324669,42.47,Watch,1,0,0
JPN,Japan,2023,3.61127531871255,0.456297698647986,0.720785304749811,35215.003535366,1.27158921671582,3.26813365933163,2.6,0.4666059739059818,0.4707542123623885,0.014094676042189865,0.31859430229749547,0.97063867907485,0.6713545179511412,44.08,Watch,1,0,0
JPN,Japan,2024,4.62202410018024,0.450454817292247,-0.240084236041696,33797.1014287876,1.27158921671582,2.73853681635241,2.5,0.5141997347458885,0.4241327579985541,0.010955549974886998,0.31859430229749547,0.970816987985704,0.6279718069957656,43.86,Watch,1,0,0
JPN,Japan,2025,4.86496093471918,1.03278551644542,1.19311288444599,35951.0449549304,1.27158921671582,3.17253034260248,2.451,0.4432106586089287,0.46233806387697507,0.009417378201908598,0.31859430229749547,0.9530458325572476,0.6175446279909956,42.55,Watch,1,0,0
SGP,Singapore,2020,17.6975168735289,22.5843942948636,-3.61084281729929,61772.5036492256,7.86772307612887,-0.172111865925382,4.1,0.68116004616682,0.1679026151853852,0.0611815670517328,0.6539904508165938,0.29534911505375416,0.06675389213308942,38.01,Stable,1,0,0
SGP,Singapore,2021,19.2527773366463,32.2624851402185,10.1410845197192,80884.8565369236,13.4265628595766,2.31610315765146,4.64,0.0,0.3869450900546069,0.07813284781516826,0.9366429095659694,0.0,0.0,27.64,Stable,0,0,0
SGP,Singapore,2022,18.9227008880076,28.0305519383786,4.01027884472296,91227.6970426492,3.54079942426392,6.13095418919732,3.591,0.3036708800357608,0.7227739486096051,0.04520341536916124,0.4339777041527726,0.12914713718872728,0.014167329634250306,32.84,Stable,0,1,0
SGP,Singapore,2023,16.3916456531586,24.607056245637,1.45026775889565,86382.5900499252,14.6725874525573,4.83372362825798,3.444,0.43047327119701045,0.6085761844084733,0.04058890005022602,1.0,0.23362295162343794,0.12280365913454418,47.11,Watch,1,0,0
SGP,Singapore,2024,17.2010838902762,23.5787255966584,5.3435120192366,94896.5621495988,12.164056562502,2.38951123595017,2.737,0.23763321502729082,0.3934073479356917,0.018395278754394787,0.872447767601763,0.2650048173252105,0.08806147025343478,35.06,Stable,0,0,0
SGP,Singapore,2025,16.7132387250529,26.3447254389071,5.02588199508003,98813.9788172877,12.164056562502,0.902998495002676,2.818,0.2533660557132688,0.26254670019564974,0.020937970868910104,0.872447767601763,0.18059399511856902,0.10900044755611135,32.24,Stable,0,0,0
USA,United States,2020,-2.77659039897534,0.641236014628299,-2.081375977796,64465.2971415748,8.07581430157573,1.23358439630629,8.055,0.6054025412386015,0.29164882894749783,0.18533400301356104,0.6645713451772954,0.9649948626613544,0.9455303934340694,56.14,Elevated,1,0,0
USA,United States,2021,-3.61901225446136,2.01451214498067,6.15202247867526,71441.2319805947,-4.99410785249463,4.69785886363742,5.349,0.19758609956623757,0.5966157412763397,0.10038925163234558,0.0,0.9230861953110486,0.9816882840287755,37.43,Stable,0,0,0
USA,United States,2022,-3.81177015326345,1.60006208497274,2.52421385073222,78008.6895811877,0.678025780769579,8.00279982052121,3.65,0.3772786060734617,0.8875562105014755,0.04705549974886992,0.2884131545886698,0.935734088414477,0.9899617149360617,52.91,Watch,0,1,0
USA,United States,2023,-3.33680827263036,1.30141768246586,2.93436322440155,82586.7847707894,0.970178289807061,4.11633838374488,3.638,0.35696309978425644,0.5454233467703002,0.046678804620793574,0.30326834528064306,0.9448479065636938,0.9695757057118838,45.74,Watch,0,0,0
USA,United States,2024,-4.04564637199117,1.01391858895004,2.79318715363841,86169.6641581917,0.260411175324415,2.94952520485207,4.022,0.36395582862305786,0.4427064818719833,0.05873304871923658,0.2671785445554382,0.9536216000746829,1.0,43.71,Watch,0,0,0
USA,United States,2025,-3.62698693844919,1.30166689957978,2.16138195623856,90026.5163005744,0.260411175324415,2.94952520485207,4.198,0.39525038442476296,0.4427064818719833,0.06425791059768962,0.2671785445554382,0.9448403011324958,0.9820305683003451,44.31,Watch,0,0,0
ZAF,South Africa,2020,2.00352275153333,0.933073684352391,-6.1689177146757,5580.60383075189,2.64073733386689,3.23238831615113,29.217,0.8078665341006688,0.4676074793183725,0.8496358613761928,0.38821190179319554,0.9560887675575116,0.7403614425090106,67.02,Elevated,1,0,1
ZAF,South Africa,2021,3.7724136934501,9.68098022663018,4.85864865060148,6828.75624590017,-0.318598512578042,4.61874544887136,34.007,0.2616494526404037,0.5896512313760649,1.0,0.23773741685597555,0.6891263576029948,0.6644382399766012,51.62,Watch,0,0,1
ZAF,South Africa,2022,-0.296182598127432,2.26670277731613,2.05813661692193,6534.24867783397,0.0264272958160272,7.03987272546482,33.268,0.4003643294283927,0.8027878395925261,0.9768018583626319,0.2552810764816697,0.9153900203861279,0.8390679206132863,63.37,Elevated,0,1,1
ZAF,South Africa,2023,-1.10356312207881,1.0127377916456,0.80610455095804,6034.27208964673,-0.138107052029171,6.0752438457966,32.098,0.4623799436004206,0.7178696572285629,0.9400740833751884,0.24691493538408874,0.9536576348096836,0.8737217896495875,63.23,Elevated,1,1,1
ZAF,South Africa,2024,-0.64279979707505,0.580891709673066,0.534843531905139,6267.186814093,0.844410394181289,4.36115246518962,32.279,0.4758160361373517,0.5669748130922924,0.9457559015570067,0.296873376849243,0.9668364073783701,0.8539452017239013,61.57,Elevated,1,0,1
ZAF,South Africa,2025,-0.422766754018983,-0.505823116244258,1.11462608103956,6597.71450918774,0.844410394181289,3.20550474112603,32.391,0.4470982645656513,0.46524086519900054,0.9492717227523857,0.296873376849243,1.0,0.844501084567834,59.1,Elevated,1,0,1
